Campaign_ID,Platform,Ad_Spend,Impressions,Clicks,Conversions,Revenue,Region,Age_Group,Start_Date,End_Date,Campaign_Type,Targeted_Location,CTR,Conversion_Rate,ROI,Content Production (45%),Distribution (35%),Analytics (20%)
13,Twitter,15600,402378,23352,1337,75047,North America,25-34,7/31/23,8/19/23,Awareness,Los Angeles,5.80%,6%,381%,5644.097675,7290.594625,2665.3077
14,Instagram,11860,797415,10825,810,48461,North America,25-34,4/9/23,4/13/23,Conversion,Toronto,1.36%,7%,309%,5782.887294,4584.329063,1492.783643
15,Facebook,820,811985,32216,61,13728,North America,25-34,10/9/23,10/10/23,Lead Generation,Toronto,3.97%,0%,1574%,275.1604876,298.5925301,246.2469823
16,TikTok,5701,726423,28734,1914,29436,South America,25-34,2/22/23,2/25/23,Conversion,Bogotá,3.96%,7%,416%,2681.16236,2102.392644,917.4449956
17,Instagram,13934,839028,1306,26,25955,North America,45-54,1/6/23,1/9/23,Awareness,Los Angeles,0.16%,2%,86%,3128.984857,7323.820882,3481.194261
18,TikTok,6316,781395,48251,1670,18899,Africa,35-44,4/5/23,5/4/23,Awareness,Nairobi,6.17%,3%,199%,1381.849,2462.021058,2472.129942
19,Instagram,17849,901115,21670,1071,93590,Europe,55+,12/24/23,1/14/24,Awareness,Madrid,2.40%,5%,424%,3828.46858,8952.643545,5067.887874
20,Instagram,11840,792963,13305,1942,69066,Africa,35-44,11/25/23,12/3/23,Awareness,Cape Town,1.68%,15%,483%,4488.546709,5565.568138,1785.885152
21,Twitter,5342,33580,32892,415,53580,Europe,45-54,2/25/23,3/11/23,Awareness,Madrid,97.95%,1%,903%,1361.294348,3077.218532,903.48712
22,Instagram,11071,254212,34286,1213,29225,Europe,25-34,9/6/23,9/7/23,Lead Generation,London,13.49%,4%,164%,4386.893626,5466.475731,1217.630643
23,Facebook,9467,494827,27445,1975,89315,South America,45-54,3/5/23,3/31/23,Lead Generation,Bogotá,5.55%,7%,843%,3633.226122,4807.88333,1025.890548
24,Twitter,3695,685327,34545,243,22116,Europe,18-24,11/1/23,11/28/23,Awareness,Madrid,5.04%,1%,499%,1468.083363,1781.839328,445.0773092
25,TikTok,6496,242013,5221,1683,14425,South America,45-54,8/12/23,8/23/23,Conversion,Buenos Aires,2.16%,32%,122%,2994.492231,3625.04795,-123.5401803
26,Facebook,19152,861988,5824,351,28179,Africa,55+,1/1/23,1/23/23,Conversion,Nairobi,0.68%,6%,47%,6167.920787,6234.964127,6749.115086
27,Facebook,12231,397970,14571,534,37377,South America,45-54,7/17/23,8/13/23,Lead Generation,Bogotá,3.66%,4%,206%,3761.52746,6438.135227,2031.337314
28,Twitter,3139,325048,45212,1615,38158,South America,35-44,9/22/23,10/20/23,Conversion,São Paulo,13.91%,4%,1116%,655.9078391,1042.037478,1441.054683
29,TikTok,19974,251346,39370,552,4538,Asia,18-24,9/10/23,9/23/23,Lead Generation,Seoul,15.66%,1%,-77%,5449.039493,6964.391713,7560.568794
30,TikTok,8501,855217,35524,1435,30153,North America,55+,2/8/23,2/23/23,Awareness,Chicago,4.15%,4%,255%,4199.713409,4076.264596,225.0219958
31,Instagram,11202,629054,44992,1360,64861,Asia,35-44,4/15/23,5/8/23,Lead Generation,Shanghai,7.15%,3%,479%,2529.576844,6277.272953,2395.150203
32,TikTok,1836,14165,48429,644,9901,North America,35-44,4/5/23,4/20/23,Awareness,Toronto,341.89%,1%,439%,876.140179,898.3464057,61.51341532
33,TikTok,14488,972752,19691,1729,58641,North America,18-24,11/24/23,11/30/23,Conversion,Chicago,2.02%,9%,305%,4109.316077,6230.2636,4148.420322
34,TikTok,6434,336551,44415,269,15510,North America,55+,7/13/23,8/6/23,Conversion,Chicago,13.20%,1%,141%,1669.121334,2041.004812,2723.873854
35,LinkedIn,12399,195322,38615,167,75375,Africa,25-34,1/29/23,2/17/23,Awareness,Cape Town,19.77%,0%,508%,4144.048848,6699.261338,1555.689814
36,Twitter,7877,744022,3389,889,5902,Asia,45-54,5/5/23,5/16/23,Awareness,Seoul,0.46%,26%,-25%,2650.132386,2553.742478,2673.125136
37,Instagram,11840,553364,42220,1186,79269,Africa,18-24,7/17/23,7/18/23,Conversion,Lagos,7.63%,3%,570%,3370.242545,3820.245641,4649.511814
38,LinkedIn,4144,418928,6677,282,59620,Europe,18-24,9/2/23,9/9/23,Conversion,Madrid,1.59%,4%,1339%,1396.565651,1308.839603,1438.594747
39,Twitter,9534,584249,31323,1579,44454,South America,25-34,8/10/23,8/17/23,Conversion,Lima,5.36%,5%,366%,2850.753061,4178.144731,2505.102208
40,Twitter,19166,691417,41215,489,93720,Europe,55+,9/26/23,10/21/23,Conversion,Berlin,5.96%,1%,389%,6452.848942,6510.596632,6202.554426
41,Facebook,15394,560830,36063,1548,80862,North America,18-24,11/22/23,12/20/23,Conversion,Los Angeles,6.43%,4%,425%,6045.674613,7714.392203,1633.933185
42,LinkedIn,7259,382812,40211,1976,73661,Europe,55+,11/27/23,12/13/23,Awareness,London,10.50%,5%,915%,2969.194711,3276.673051,1013.132238
43,TikTok,18700,49523,24086,357,74933,Europe,55+,2/9/23,3/2/23,Awareness,Berlin,48.64%,1%,301%,9289.351585,8159.379437,1251.268978
44,Facebook,17578,146683,30440,1855,95801,Europe,35-44,12/9/23,12/12/23,Conversion,London,20.75%,6%,445%,6531.166832,9415.737364,1631.095804
45,TikTok,3828,780653,13639,1164,86890,Europe,35-44,8/28/23,8/30/23,Conversion,Madrid,1.75%,9%,2170%,869.8766087,2119.697981,838.4254107
46,Twitter,1043,241729,47187,950,70793,Asia,25-34,2/8/23,2/18/23,Lead Generation,Mumbai,19.52%,2%,6687%,511.7837432,410.164029,121.0522278
47,Facebook,9464,726225,8155,1643,44037,South America,18-24,8/16/23,9/2/23,Awareness,São Paulo,1.12%,20%,365%,3121.491964,4901.693931,1440.814105
48,Twitter,6501,296705,15897,357,65326,Africa,25-34,9/9/23,10/9/23,Awareness,Cape Town,5.36%,2%,905%,1804.812331,2876.061377,1820.126292
49,LinkedIn,19521,234856,27339,998,62685,Asia,35-44,3/23/23,4/20/23,Conversion,Seoul,11.64%,4%,221%,7406.686303,5863.966653,6250.347044
50,Twitter,1805,576136,25259,900,70713,South America,18-24,11/9/23,11/27/23,Awareness,Lima,4.38%,4%,3818%,652.6011183,881.5980064,270.8008752
51,Facebook,10924,136301,48644,826,83600,North America,25-34,1/18/23,1/28/23,Awareness,New York,35.69%,2%,665%,5103.073146,5054.469924,766.4569306
52,Facebook,7236,970014,33465,378,38867,North America,45-54,2/10/23,2/21/23,Conversion,Toronto,3.45%,1%,437%,2225.667123,3930.800126,1079.532751
53,Facebook,17401,994442,45106,921,39479,South America,35-44,8/18/23,8/30/23,Awareness,Lima,4.54%,2%,127%,6561.022381,10261.17253,578.8050912
54,Facebook,15137,275094,17138,160,6525,North America,25-34,1/28/23,2/12/23,Lead Generation,Chicago,6.23%,1%,-57%,5628.749645,7239.4906,2268.759755
55,Facebook,16345,638919,41230,1788,43364,Africa,45-54,7/9/23,8/3/23,Lead Generation,Cape Town,6.45%,4%,165%,7690.004842,6103.894178,2551.10098
56,TikTok,14149,821093,4262,1392,36185,Africa,55+,12/19/23,12/30/23,Awareness,Lagos,0.52%,33%,156%,6879.658402,4547.752937,2721.588661
57,LinkedIn,16881,717725,27041,1680,75485,Asia,18-24,4/29/23,4/30/23,Awareness,Shanghai,3.77%,6%,347%,4059.422459,6953.306453,5868.271088
58,LinkedIn,10407,197052,23193,1036,43717,North America,55+,7/10/23,7/26/23,Conversion,Toronto,11.77%,4%,320%,2612.07339,5942.094245,1852.832365
59,LinkedIn,18768,172529,7658,1407,81799,Europe,18-24,8/3/23,8/13/23,Conversion,Berlin,4.44%,18%,336%,7408.270554,6123.870029,5235.859417
60,Instagram,5200,591873,47491,1836,44127,South America,25-34,3/11/23,3/19/23,Conversion,São Paulo,8.02%,4%,749%,1374.247421,3088.357736,737.3948428
61,Twitter,13767,269004,38605,1139,67267,Europe,18-24,8/24/23,9/18/23,Lead Generation,London,14.35%,3%,389%,6559.931559,5290.742401,1916.326041
62,Instagram,19764,290667,19061,1898,68487,Asia,55+,12/4/23,12/6/23,Conversion,Tokyo,6.56%,10%,247%,4178.831357,5975.718266,9609.450377
63,Twitter,542,61188,17028,1238,39034,South America,18-24,5/6/23,5/17/23,Conversion,São Paulo,27.83%,7%,7102%,132.9493026,168.1813478,240.8693496
64,TikTok,15624,288614,17120,1214,64445,Africa,45-54,6/13/23,7/3/23,Lead Generation,Cairo,5.93%,7%,312%,5013.999835,7879.412269,2730.587896
65,Twitter,10062,567194,28664,1756,95814,Asia,35-44,11/20/23,12/12/23,Conversion,Mumbai,5.05%,6%,852%,4234.381656,5592.940709,234.6776356
66,Instagram,19383,51484,34046,920,2336,Africa,45-54,4/22/23,5/15/23,Conversion,Nairobi,66.13%,3%,-88%,6213.031361,9302.213409,3867.755231
67,Twitter,10351,976551,8423,8,34639,South America,18-24,8/11/23,8/14/23,Awareness,Buenos Aires,0.86%,0%,235%,3865.741504,4761.973401,1723.285095
68,Twitter,16001,501991,43694,1190,21674,Europe,35-44,5/1/23,5/17/23,Awareness,Madrid,8.70%,3%,35%,3308.165008,6528.629136,6164.205856
69,Instagram,12403,215742,22049,608,12788,Europe,55+,8/8/23,9/5/23,Conversion,Paris,10.22%,3%,3%,3247.957083,5528.830703,3626.212214
70,Instagram,17605,394843,34789,676,34966,Asia,25-34,1/16/23,1/22/23,Lead Generation,Tokyo,8.81%,2%,99%,4625.859057,5888.406937,7090.734006
71,TikTok,11638,273382,8074,1405,50119,Asia,35-44,12/30/23,1/24/24,Conversion,Seoul,2.95%,17%,331%,5556.284675,6381.553165,-299.8378401
72,TikTok,5370,413975,48091,1005,55223,North America,18-24,7/26/23,8/21/23,Awareness,Los Angeles,11.62%,2%,928%,1318.280743,2046.607643,2005.111614
73,LinkedIn,12395,399403,19329,1215,72027,Asia,25-34,9/6/23,9/15/23,Conversion,Shanghai,4.84%,6%,481%,4050.564847,6050.225288,2294.209864
74,Twitter,15114,620767,18403,1650,53804,Europe,25-34,7/24/23,7/25/23,Awareness,Madrid,2.96%,9%,256%,3980.112668,5042.880618,6091.006714
75,Instagram,8050,441311,32205,186,78415,Europe,55+,7/8/23,7/25/23,Lead Generation,Berlin,7.30%,1%,874%,4020.306543,4166.893683,-137.2002266
76,Facebook,12131,251545,10122,1467,7872,North America,25-34,5/13/23,5/31/23,Lead Generation,New York,4.02%,14%,-35%,3130.772639,3691.071219,5309.156141
77,LinkedIn,18965,810873,24193,1496,53148,Asia,25-34,3/13/23,3/26/23,Lead Generation,Seoul,2.98%,6%,180%,7016.2701,10182.48345,1766.246448
78,LinkedIn,13458,622268,12881,1217,32468,Asia,25-34,3/25/23,4/15/23,Awareness,Shanghai,2.07%,9%,141%,5971.568912,7649.256589,-162.8255014
79,LinkedIn,1899,54676,36889,49,55901,Europe,55+,4/18/23,4/21/23,Awareness,London,67.47%,0%,2844%,877.8521508,723.4931922,297.654657
80,Twitter,13910,57989,44385,1376,34221,North America,25-34,7/12/23,7/24/23,Lead Generation,Toronto,76.54%,3%,146%,5170.099403,6685.602852,2054.297745
81,Instagram,18341,848762,48209,1412,79231,Europe,45-54,2/5/23,2/19/23,Awareness,Berlin,5.68%,3%,332%,5845.438512,9801.970623,2693.590865
82,Instagram,2289,904953,21404,828,83167,Africa,55+,9/13/23,9/30/23,Conversion,Nairobi,2.37%,4%,3533%,848.9663751,971.2875418,468.7460831
83,Twitter,18164,90854,24132,529,10973,Asia,55+,12/8/23,1/5/24,Conversion,Shanghai,26.56%,2%,-40%,8407.572319,8850.788401,905.6392796
84,Instagram,10471,827097,6120,803,30328,South America,35-44,12/25/23,1/15/24,Lead Generation,Buenos Aires,0.74%,13%,190%,3277.58082,6045.624652,1147.794528
85,Twitter,19554,539116,47409,59,809,Asia,25-34,3/7/23,3/26/23,Lead Generation,Seoul,8.79%,0%,-96%,6331.978522,9401.137322,3820.884156
86,TikTok,10440,881380,3765,897,11873,Africa,25-34,12/30/23,1/13/24,Conversion,Lagos,0.43%,24%,14%,3427.463053,3345.406028,3667.130919
87,Instagram,10507,5452,39840,1886,25122,South America,45-54,9/15/23,10/5/23,Awareness,Bogotá,730.74%,5%,139%,4497.092129,4582.265102,1427.642769
88,Facebook,6367,644409,48318,1415,59592,Asia,45-54,4/12/23,5/5/23,Awareness,Mumbai,7.50%,3%,836%,2354.950702,2337.04124,1675.008058
89,Twitter,10186,816053,38144,1871,16640,Asia,45-54,8/29/23,9/8/23,Lead Generation,Shanghai,4.67%,5%,63%,4012.477838,4119.069359,2054.452803
90,Twitter,16409,759484,36255,1206,78996,North America,55+,11/20/23,12/3/23,Awareness,Toronto,4.77%,3%,381%,4885.890866,7949.496364,3573.61277
91,TikTok,2392,852454,10882,538,14613,South America,45-54,10/3/23,10/14/23,Lead Generation,Lima,1.28%,5%,511%,1125.100331,945.7557122,321.1439571
92,TikTok,17862,880551,31535,792,69043,South America,35-44,2/12/23,2/19/23,Lead Generation,São Paulo,3.58%,3%,287%,8565.485923,7267.756908,2028.757169
93,TikTok,14626,830635,13259,1828,11207,Europe,45-54,7/2/23,7/20/23,Awareness,Paris,1.60%,14%,-23%,5109.896373,6356.495363,3159.608264
94,TikTok,12476,851857,13910,935,52265,North America,55+,11/9/23,11/25/23,Lead Generation,Chicago,1.63%,7%,319%,5292.823661,4252.796028,2930.380311
95,LinkedIn,1241,604746,8152,1143,67546,South America,35-44,10/28/23,11/27/23,Lead Generation,Bogotá,1.35%,14%,5343%,296.4222818,497.8910566,446.6866616
96,TikTok,18346,769258,35684,452,60197,Asia,55+,1/1/23,1/31/23,Lead Generation,Mumbai,4.64%,1%,228%,6247.777899,10242.82465,1855.397455
97,TikTok,12819,970632,33717,937,35938,Africa,18-24,2/10/23,2/27/23,Conversion,Cairo,3.47%,3%,180%,4185.757812,5901.185281,2732.056907
98,LinkedIn,15642,200719,41029,473,11227,North America,25-34,6/12/23,6/14/23,Lead Generation,Los Angeles,20.44%,1%,-28%,7636.423051,6684.286765,1321.290184
99,LinkedIn,2230,671960,28419,1001,61017,North America,25-34,8/26/23,9/22/23,Conversion,Chicago,4.23%,4%,2636%,989.6394962,942.8505631,297.5099407
100,Instagram,2716,179057,16225,1732,22207,Asia,18-24,1/17/23,1/24/23,Awareness,Seoul,9.06%,11%,718%,1317.801893,1083.611337,314.5867703
101,Twitter,1975,624575,6269,1618,63680,Europe,18-24,11/26/23,12/26/23,Awareness,Madrid,1.00%,26%,3124%,693.379742,769.627807,511.992451
102,Twitter,14744,516690,28432,1162,20691,Europe,55+,1/11/23,1/17/23,Conversion,Berlin,5.50%,4%,40%,7046.340778,8054.862464,-357.203242
103,LinkedIn,1651,387896,2077,1169,13163,Asia,25-34,2/8/23,3/1/23,Awareness,Seoul,0.54%,56%,697%,706.9819352,568.4531676,375.5648972
104,Facebook,18118,387798,30287,564,54602,South America,55+,8/19/23,8/20/23,Lead Generation,Buenos Aires,7.81%,2%,201%,4597.155353,8090.275781,5430.568866
105,Twitter,7906,30187,49175,1614,82539,Africa,35-44,4/3/23,4/11/23,Conversion,Nairobi,162.90%,3%,944%,3844.342862,3889.406098,172.2510402
106,TikTok,17184,457641,20798,205,50184,Africa,35-44,11/27/23,11/28/23,Conversion,Cairo,4.54%,1%,192%,4835.934604,10262.23461,2085.830784
107,Twitter,12798,931986,32550,1264,63203,Europe,45-54,5/21/23,6/3/23,Awareness,Madrid,3.49%,4%,394%,3602.317962,7414.887558,1780.79448
108,Instagram,16949,399751,37120,1302,98124,Europe,18-24,3/27/23,3/30/23,Conversion,Berlin,9.29%,4%,479%,8053.716446,9224.096226,-328.8126726
109,Twitter,12164,495960,30444,222,18343,Africa,25-34,9/5/23,10/4/23,Awareness,Nairobi,6.14%,1%,51%,4234.386603,5414.839813,2514.773584
110,TikTok,19166,325962,18480,1610,7728,North America,35-44,8/13/23,9/12/23,Awareness,Los Angeles,5.67%,9%,-60%,5161.139667,10281.75866,3723.101671
111,Instagram,10404,681141,24780,1641,33153,Africa,45-54,7/23/23,7/28/23,Awareness,Cairo,3.64%,7%,219%,4551.887867,4561.273908,1290.838225
112,Facebook,8163,653974,15670,517,20986,Africa,35-44,3/19/23,3/29/23,Lead Generation,Cairo,2.40%,3%,157%,2691.27896,3345.465787,2126.255253
113,Twitter,6512,172166,26260,1047,1158,North America,35-44,1/21/23,2/16/23,Awareness,Chicago,15.25%,4%,-82%,3253.261116,2854.580212,404.1586718
114,Facebook,12021,309541,48191,552,29624,Africa,25-34,2/8/23,2/27/23,Conversion,Cape Town,15.57%,1%,146%,2995.576504,5219.320634,3806.102861
115,LinkedIn,8648,216720,21712,1636,64451,Asia,45-54,3/15/23,4/12/23,Conversion,Tokyo,10.02%,8%,645%,3878.993878,3482.165335,1286.840787
116,Facebook,5849,446847,21341,1004,79434,Asia,25-34,12/11/23,12/18/23,Lead Generation,Tokyo,4.78%,5%,1258%,1499.1768,3192.301574,1157.521626
117,Instagram,14549,390714,11312,216,11559,Africa,18-24,10/7/23,10/8/23,Awareness,Nairobi,2.90%,2%,-21%,3921.544517,8572.269141,2055.186343
118,Twitter,15913,139360,20786,1552,7993,North America,25-34,11/22/23,12/7/23,Lead Generation,Toronto,14.92%,7%,-50%,5176.38266,5170.059921,5566.557419
119,Instagram,6905,517247,6831,1963,25369,Europe,18-24,11/15/23,12/2/23,Lead Generation,Madrid,1.32%,29%,267%,3375.923568,3627.537551,-98.46111977
120,TikTok,18009,567930,5683,1269,79276,Asia,45-54,10/28/23,11/19/23,Lead Generation,Tokyo,1.00%,22%,340%,6795.746781,8086.011587,3127.241632
121,Instagram,7424,49727,23871,1889,5345,South America,35-44,4/23/23,5/5/23,Conversion,São Paulo,48.00%,8%,-28%,2534.934989,3838.350341,1050.714669
122,Instagram,13862,142035,39686,316,87051,Asia,25-34,4/10/23,4/21/23,Lead Generation,Tokyo,27.94%,1%,528%,6462.702748,5422.747139,1976.550113
123,TikTok,13433,850196,47857,898,93215,North America,55+,7/22/23,7/26/23,Awareness,Los Angeles,5.63%,2%,594%,5741.417531,7272.874498,418.7079701
124,TikTok,10134,794145,27315,1309,5404,Africa,25-34,11/26/23,12/25/23,Conversion,Nairobi,3.44%,5%,-47%,2527.834595,4390.180814,3215.984591
125,LinkedIn,11841,510945,14324,1354,50304,Europe,45-54,12/31/23,1/18/24,Lead Generation,Berlin,2.80%,9%,325%,4717.922488,5644.024577,1479.052935
126,Facebook,9544,746966,25,732,28221,Europe,35-44,9/21/23,10/1/23,Conversion,London,0.00%,2928%,196%,2415.889771,5712.286254,1415.823975
127,LinkedIn,8038,850596,22245,1005,91699,Africa,35-44,9/28/23,10/7/23,Lead Generation,Lagos,2.62%,5%,1041%,3336.191339,2980.028986,1721.779674
128,LinkedIn,6205,670743,27964,1819,17499,Africa,55+,3/18/23,3/20/23,Awareness,Cairo,4.17%,7%,182%,2055.122024,3269.399364,880.4786125
129,TikTok,684,654082,5466,1605,82391,Asia,35-44,1/13/23,1/27/23,Awareness,Tokyo,0.84%,29%,11945%,227.3009425,294.5418959,162.1571617
130,LinkedIn,10531,617746,22640,252,93779,North America,18-24,7/5/23,7/14/23,Lead Generation,Chicago,3.66%,1%,791%,4909.306702,3529.723254,2091.970044
131,Instagram,6442,884320,42043,14,43320,North America,45-54,6/17/23,6/28/23,Awareness,New York,4.75%,0%,572%,2091.942721,2248.933194,2101.124085
132,Twitter,2444,35100,7880,1375,95094,Europe,55+,9/27/23,9/28/23,Lead Generation,Madrid,22.45%,17%,3791%,557.7973281,1043.460602,842.7420701
133,Facebook,15143,98055,25164,50,68309,Europe,35-44,8/26/23,9/25/23,Conversion,Madrid,25.66%,0%,351%,3110.082685,5449.716058,6583.201256
134,TikTok,18851,31377,6519,1659,50463,Africa,35-44,2/27/23,2/28/23,Awareness,Nairobi,20.78%,25%,168%,5509.484266,6700.819263,6640.696471
135,Instagram,15216,356943,5784,288,19706,South America,45-54,10/3/23,10/16/23,Lead Generation,São Paulo,1.62%,5%,30%,3635.359247,4656.522623,6924.11813
136,LinkedIn,11440,75397,31127,880,33141,Europe,45-54,1/8/23,1/26/23,Lead Generation,Madrid,41.28%,3%,190%,4910.523985,5276.43425,1253.041766
137,Facebook,5654,682382,25355,492,76865,North America,18-24,2/26/23,3/3/23,Awareness,New York,3.72%,2%,1259%,1179.221606,2870.8176,1603.960794
138,Facebook,7601,654380,33120,1605,9249,South America,35-44,12/14/23,12/25/23,Conversion,São Paulo,5.06%,5%,22%,3702.005783,3222.914445,676.0797715
139,Twitter,4464,892574,47140,1946,21543,Asia,45-54,12/21/23,1/15/24,Lead Generation,Shanghai,5.28%,4%,383%,1772.109391,2521.833276,170.0573336
140,Instagram,14662,282826,467,556,98581,North America,25-34,9/26/23,10/5/23,Awareness,Los Angeles,0.17%,119%,572%,4202.26392,6043.715811,4416.020268
141,LinkedIn,13053,933329,1637,1331,5344,North America,35-44,11/12/23,11/28/23,Lead Generation,Los Angeles,0.18%,81%,-59%,3156.653604,4239.985791,5656.360604
142,Instagram,14906,87424,82,277,22495,Africa,35-44,3/13/23,4/10/23,Conversion,Cape Town,0.09%,338%,51%,6142.841812,8629.123631,134.0345574
143,Facebook,6431,644159,33824,1738,37886,South America,55+,1/30/23,2/28/23,Conversion,São Paulo,5.25%,5%,489%,1758.451852,2996.960306,1675.587842
144,Instagram,18509,461048,3047,938,6502,North America,25-34,10/3/23,10/24/23,Conversion,Toronto,0.66%,31%,-65%,3910.884137,7717.546555,6880.569308
145,Instagram,16396,973730,13060,487,14365,Europe,25-34,11/15/23,11/21/23,Conversion,Madrid,1.34%,4%,-12%,7002.602765,6095.51736,3297.879875
146,Facebook,11007,485603,2848,173,6641,North America,35-44,8/28/23,9/5/23,Conversion,New York,0.59%,6%,-40%,4167.60451,3726.731397,3112.664093
147,Facebook,16348,601556,25384,313,73957,North America,35-44,4/2/23,4/9/23,Lead Generation,Chicago,4.22%,1%,352%,3655.223369,8426.276819,4266.499812
148,Facebook,10011,558040,8808,1359,36528,Europe,25-34,1/22/23,1/25/23,Conversion,Berlin,1.58%,15%,265%,4898.888562,5227.938381,-115.8269427
149,Twitter,509,182422,12770,838,77672,Asia,35-44,4/21/23,5/8/23,Lead Generation,Seoul,7.00%,7%,15160%,214.7483931,283.6740988,10.57750802
150,Facebook,11000,246591,12950,1050,93615,South America,55+,9/19/23,10/2/23,Awareness,São Paulo,5.25%,8%,751%,4018.837774,4553.894259,2427.267967
151,Instagram,17074,728687,3416,148,91228,Africa,18-24,5/30/23,6/19/23,Awareness,Cairo,0.47%,4%,434%,8318.705501,9033.649477,-278.3549777
152,Instagram,4172,61749,27074,137,77421,Africa,45-54,12/15/23,1/1/24,Awareness,Nairobi,43.85%,1%,1756%,1779.812405,2065.387559,326.8000358
153,LinkedIn,2766,281932,3451,1258,77628,South America,35-44,8/22/23,9/16/23,Conversion,Bogotá,1.22%,36%,2707%,869.7640494,1599.534162,296.7017887
154,TikTok,5000,11850,12098,125,1907,North America,25-34,3/3/23,3/10/23,Conversion,Los Angeles,102.09%,1%,-62%,2154.580964,1916.342263,929.0767732
155,Instagram,6161,779073,7955,1382,79082,Europe,25-34,1/1/24,1/25/24,Conversion,Madrid,1.02%,17%,1184%,2815.653197,3544.661727,-199.3149242
156,Twitter,3057,660258,25155,811,16207,Europe,55+,6/17/23,6/29/23,Conversion,London,3.81%,3%,430%,721.1685765,1752.195838,583.6355854
157,Instagram,17040,787531,540,1336,95015,Africa,55+,6/10/23,6/12/23,Awareness,Lagos,0.07%,247%,458%,6432.746222,6152.441846,4454.811932
158,Twitter,11098,6724,24322,488,85835,Africa,55+,6/5/23,6/27/23,Awareness,Lagos,361.72%,2%,673%,5478.896774,6423.539504,-804.4362782
159,Facebook,16024,852282,16245,1041,48715,Asia,18-24,1/7/23,2/2/23,Conversion,Seoul,1.91%,6%,204%,6086.490449,8915.70986,1021.799691
160,Twitter,10148,532742,44659,1132,84827,Asia,18-24,3/31/23,4/7/23,Awareness,Tokyo,8.38%,3%,736%,2843.324805,5949.467681,1355.207514
161,Twitter,12480,30433,23763,956,191,Europe,35-44,11/28/23,12/19/23,Lead Generation,London,78.08%,4%,-98%,4760.307059,5563.312874,2156.380067
162,Twitter,7874,392194,4544,1065,4177,Asia,55+,11/30/23,12/27/23,Awareness,Mumbai,1.16%,23%,-47%,3274.884919,3416.285516,1182.829566
163,TikTok,12296,568055,34212,6,36855,South America,25-34,9/24/23,10/7/23,Lead Generation,São Paulo,6.02%,0%,200%,2781.993741,6667.251693,2846.754566
164,TikTok,7967,580355,42865,516,82574,North America,35-44,1/26/23,1/30/23,Conversion,New York,7.39%,1%,936%,2793.488984,2471.591549,2701.919467
165,Instagram,7619,343356,21228,301,98083,Asia,45-54,9/4/23,9/15/23,Lead Generation,Mumbai,6.18%,1%,1187%,2367.275791,2875.88475,2375.839459
166,Facebook,3923,229056,37188,1199,25848,North America,35-44,4/13/23,4/17/23,Lead Generation,New York,16.24%,3%,559%,1959.449402,1238.089247,725.461351
167,LinkedIn,11360,625413,6585,1488,19700,Asia,18-24,12/21/23,12/31/23,Awareness,Tokyo,1.05%,23%,73%,4902.29887,5877.20872,580.4924102
168,Instagram,14726,875780,35739,316,78596,Europe,45-54,2/18/23,3/13/23,Conversion,London,4.08%,1%,434%,3673.539468,6398.903465,4653.557067
169,Twitter,2809,217247,26622,1718,93760,Asia,35-44,5/24/23,6/20/23,Conversion,Shanghai,12.25%,6%,3238%,642.3631929,1591.667712,574.9690949
